r1,Процент одобрения,,,,,,,,,,,,,,,,,,,,,,Динамика
r2,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь
r59,,,,,,,,,,,,,,,,,,,,,,,0
r60,Зависимость процента одобрения от размера первого взноса,,,,,,,,,,,,,,,,,,,,,,0
r61,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r62,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,,,,,,,ПВ: 10-14%,,,,,,,,,,,0
r63,33.33,8.33,52.0,50.0,32.3,31.9,-,-,-,36.2,55.5,20.0,-,,,,,,,,,,0
r64,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,,,,,,,ПВ: 15-19%,,,,,,,,,,,0
r65,50.86,36.07,40.19,29.53,41.1,45.5,61.0,66.8,59.4,49.8,26.3,15.8,68.7,-,,,,,,,,,0
r66,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,,,,,,,ПВ: 20-29%,,,,,,,,ПВ: 20-29%,,,#VALUE!
r67,68.14,58.76,63.71,61.62,58.9,57.9,63.5,50.3,51.3,55.2,44.0,44.5,53.5,54.97,60.88,62.07,61.54,62.79,59.61,58.96,59.04,,0.08
r68,ПВ: 30-39%,ПВ: 30-39%,ПВ: 30-39%,ПВ: 30-39%,ПВ: 30-39%,,,,,,,ПВ: 30-39%,,,,,,,,ПВ: 30-39%,,,#VALUE!
r69,66.68,56.14,61.49,56.96,49.0,47.7,67.4,54.5,54.2,53.5,53.1,47.2,54.2,57.07,58.57,59.55,60.67,54.11,56.59,55.87,55.75,,-0.12
r70,ПВ: 40-49%,ПВ: 40-49%,ПВ: 40-49%,ПВ: 40-49%,ПВ: 40-49%,,,,,,,ПВ: 40-49%,,,,,,,,ПВ: 40-49%,,,#VALUE!
r71,73.18,64.39,71.83,65.02,64.1,63.7,76.1,61.5,62.1,60.6,56.8,49.9,59.6,58.25,62.8,61.52,65.57,67.37,65.11,64.29,63.7,,-0.59
r72,ПВ: 50+%,ПВ: 50+%,ПВ: 50+%,ПВ: 50+%,ПВ: 50+%,,,,,,,ПВ: 50+%,,,,,,,,ПВ: 50+%,,,#VALUE!
r73,80.25,71.86,74.68,70.15,65.7,66.3,78.3,64.1,61.9,57.0,55.6,60.28,64.9,62.19,67.59,68.81,69.21,70.48,67.8,66.77,69.33,,2.56
r74,,,,,,,,,,,,,,,,,,,,,,,0
r75,Долговая нагрузка,,пока не делаем этот график,,,,,,,,,,,,,,,,,,,,0
r76,"люди, у которых кредиты забирают 0-30% дохода",,,,,,,,,,,,,,,,,,,,,,0
r77,52.2,50.7,50.6,50.3,41.1,42.5,,,,,,,,,,,,,,,,,0
r78,"люди, у которых кредиты забирают 30-60% дохода",,,,,,,,,,,,,,,,,,,,,,0
r79,39.8,40.4,40.7,40.0,43.1,42.2,,,,,,,,,,,,,,,,,0
r80,"люди, у которых кредиты забирают более 60% дохода",,,,,,,,,,,,,,,,,,,,,,0
r81,7.9,8.9,8.7,9.7,15.8,15.3,,,,,,,,,,,,,,,,,0
r82,,,,,,,,,,,,,,,,,,,,,,,0
r83,Тип ипотеки,,,,,,,,,,,,,,,,,,,,,,0
r84,март,апрель,май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r85,Стандартная,,,,,,,,,,,Стандартная,,,,,,,,Стандартная,,,#VALUE!
r86,28.1,30.9,29.8,27.7,60.3,58.3,22.0,20.3,17.9,37.4,28.2,28.0,32.6,36.0,32.2,30.9,31.0,35.3,39.4,36.2,31.5,,-4.7
r87,Господдержка,,,,,,,,,,,Господдержка,,,,,,,,,,,0
r88,24.9,26.3,27.0,28.3,-,-,-,-,-,-,-,-,-,,,,,,,,,,0
r89,Семейная,,,,,,,,,,,Семейная,,,,,,,,Семейная,,,#VALUE!
r90,38.2,33.5,34.2,32.3,26.6,38.3,74.7,75.6,76.8,59.5,67.7,67.6,62.9,59.9,63.4,64.4,64.6,61.0,56.8,60.0,65.1,,5.1
r91,IT-ипотека,,,,,,,,,,,IT-ипотека,,,,,,,,IT-ипотека,,,#VALUE!
r92,7.5,8.2,7.9,10.7,11.6,1.0,1.5,1.9,2.1,1.1,1.8,1.8,1.6,1.6,2.2,2.0,1.9,1.7,1.5,1.6,1.4,,-0.2
r93,Военная,,,,,,,,,,,Военная,,,,,,,,Военная,,,#VALUE!
r94,0.8,0.8,0.8,0.6,1.0,1.0,1.0,1.1,1.3,1.0,0.9,0.8,1.0,1.0,0.8,0.7,0.8,0.7,0.7,0.6,0.7,,0.1
r95,Дальневосточная,,,,,,,,,,,Дальневосточная,,,,,,,,Дальневосточная,,,#VALUE!
r96,0.6,0.4,0.4,0.4,0.5,0.7,0.7,1.0,1.5,0.9,0.9,1.1,1.3,1.3,1.2,1.6,1.3,1.0,1.1,1.2,1.0,,-0.2
r99,Топ-10 банков
r100,,апрель 2025,,,май 2025,,июнь,,,июль 2025,,,август,,,сентябрь,,,октябрь (без сбера),берем эти данные,,ноябрь
r101,Альфа-банк,21.4,,ВТБ,23.6,,ВТБ,21.9,,Альфа-банк,20.2,,Альфа-Банк,18.9,,Альфа-Банк,22.3,,Альфа-Банк,22.7,,Альфа-Банк,22.0
r102,ВТБ,17.7,,Альфа-банк,20.1,,Альфа-банк,20.9,,ВТБ,19.0,,Совкомбанк,16.2,,Совкомбанк,15.5,,Совкомбанк,15.7,,Совкомбанк,14.8
r103,Совкомбанк,14.6,,Совкомбанк,16.3,,Совкомбанк,15.4,,Совкомбанк,15.8,,Банк ДОМ.РФ,10.1,,ВТБ,10.5,,Банк ДОМ.РФ,9.5,,Банк «Санкт-Петербург»,8.7
r104,Сбербанк,7.4,,Сбербанк,6.6,,Сбербанк,6.0,,ДОМ.РФ,6.4,,ВТБ,10.0,,Банк ДОМ.РФ,8.7,,Банк «Санкт-Петербург»,8.3,,Банк ДОМ.РФ,8.0
r105,МКБ,7.1,,МКБ,5.7,,ДОМ.РФ,4.8,,Банк Санкт-Петербург,5.8,,Банк «Санкт-Петербург»,8.3,,Банк «Санкт-Петербург»,8.2,,ВТБ,7.8,,ВТБ,7.8
r106,Банк Санкт-Петербург,5.3,,Банк Санкт-Петербург,4.2,,МКБ,4.8,,Сбербанк,5.0,,Абсолют Банк,5.3,,Т-Банк,5.6,,МКБ,6.7,,Абсолют Банк,6.5
r107,Уралсиб,4.8,,Т-Банк,3.9,,Банк Санкт-Петербург,4.6,,Т-Банк,4.7,,Т-Банк,4.6,,Абсолют Банк,4.5,,Т-Банк,5.3,,Т-Банк,5.8
r108,Т-Банк,4.3,,ДОМ.РФ,3.5,,Абсолют банк,4.4,,Абсолют банк,4.3,,МКБ,4.4,,МКБ,4.5,,Абсолют Банк,4.8,,МКБ,5.6
r109,ДОМ.РФ,3.9,,Абсолют банк,3.1,,Т-Банк,4.1,,МКБ,3.9,,Сбербанк,3.8,,Сбербанк,4.1,,Уралсиб,3.1,,Уралсиб,2.9
r110,Россельхозбанк,2.3,,Уралсиб,3.0,,Уралсиб,3.4,,Уралсиб,3.5,,Уралсиб,3.8,,Уралсиб,3.5,,Банк Россия,2.9,,Промсвязьбанк,2.8
r111,Остальные,11.2,,Остальные,10,,Остальные,9.7,,Остальные,11.4,,Остальные,14.6,,Остальные,12.6,,Остальные,13.2,,Остальные,15.1
r115,Субсидированные ипотеки
r116,Апрель,8.1
r117,Май,9.7
r118,Июнь,13.2
r119,Июль,10.9
r120,Август,0.112
r121,Сентябрь,0.145
r122,Октябрь,0.133
r123,Ноябрь,0.275
r124,Декабрь,0.239
r125,Январь,0.133
r126,Февраль,0.202
r127,март,0.307
r128,апрель,0.497
r129,май,0.376
r130,июнь,23.0
r131,июль,14.4
r132,август,0.243
r133,сентябрь,0.285
r134,октябрь,31.4%
r135,ноябрь,0.305
r136,,
r139,Ежемесячный платеж от категории доходов
r140,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь
r141,1-49к,1-49к,1-49к,1-49к,1-49к,1-49к,1-49к,1-49к,1-49к,1-49к,
r142,38342.0,37385.0,34629.0,32429.0,35646.0,38743.0,47106.0,41810.0,38982.0,33155.0,35973.0
r143,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к
r144,36923.0,39203.0,37328.0,37378.0,37623.0,35893.0,37144.0,38704.0,39981.0,35780.0,35973.0
r145,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к
r146,45187.0,45435.0,48208.0,47330.0,46513.0,46028.0,44615.0,45388.0,48531.0,40811.0,39848.0
r147,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,,,,,
r148,53235.0,51245.0,53256.0,55509.0,53228.0,50735.0,49878.0,52075.0,52863.0,46197.0,48379.0,,,,
r149,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к
r150,59477.0,57628.0,60794.0,65160.0,59169.0,57649.0,55924.0,60406.0,60749.0,53778.0,54265.0
r151,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,
r152,69131.0,68143.0,70677.0,75966.0,74009.0,72767.0,72024.0,72515.0,77037.0,64743.0,64499.0
r153,500к+,500к+,500к+,500к+,500к+,500к+,500к+,500к+,500к+,500к+
r154,115485.0,136346.0,137764.0,142562.0,141563.0,145891.0,143374.0,142001.0,147835.0,73226.0,71946.0
r156,Рейтинг НБКИ
r157,,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь
r158,отличный (942 - 999),17.4,14.1
r159,хороший (825 - 941),20.7,8.9
r160,удовлетворительный (597 - 824),19.8,12.8
r161,крайне плохой (1-596),27.3,18.7,21.0,25.8,22.1,20.9,19.3,17.0,15.9,14.9,15.6,14.5
r163,ТОП банков по проценту одобрения,,,
r164,Май,,,июнь,,,июль,,,август,,,сентябрь,,,октябрь,,,ноябрь
r165,ВТБ,58.0,,Сбербанк,62.0,,Сбербанк,60.0,,Сбербанк,59.58,,Сбербанк,65.66,,Сбербанк,63.38,,ВТБ,47.81
r166,Сбербанк,58.0,,ВТБ,56.0,,ВТБ,56.0,,ВТБ,49.86,,МКБ,50.13,,ВТБ,47.37,,Совкомбанк,46.55
r167,МКБ,46.0,,МКБ,46.0,,МКБ,50.0,,МКБ,49.61,,ВТБ,48.06,,Банк «Санкт-Петербург»,46.54,,Банк «Санкт-Петербург»,45.53
r168,Газпромбанк,40.0,,Банк ДОМ.РФ,41.0,,Совкомбанк,43.0,,Банк ДОМ.РФ,46.44,,Банк ДОМ.РФ,45.9,,Совкомбанк,45.06,,МКБ,44.77
r169,Совкомбанк,39.0,,Банк Санкт-Петербург,40.0,,Промсвязьбанк,42.0,,Совкомбанк,45.52,,Совкомбанк,45.89,,Банк ДОМ.РФ,45.03,,Промсвязьбанк,40.09
r170,Банк Санкт-Петербург,35.0,,Совкомбанк,38.0,,Банк «Санкт-Петербург»,39.0,,Промсвязьбанк,42.91,,Банк «Санкт-Петербург»,41.24,,МКБ,44.79,,Т-Банк,39.52
r171,СНГБ,35.0,,Промсвязьбанк,37.0,,Банк ДОМ.РФ,39.0,,Банк «Санкт-Петербург»,41.91,,Промсвязьбанк,39.24,,Промсвязьбанк,43.34,,Альфа-Банк,35.9
r172,Россельхозбанк,34.0,,Альфа-Банк,33.0,,Банк Россия,39.0,,Банк Россия,37.63,,Т-Банк,37.99,,Газпромбанк,42.86,,Банк ДОМ.РФ,33.66
r173,Промсвязьбанк,33.0,,Металлинвестбанк,32.0,,УБРиР,39.0,,Альфа-Банк,35.63,,Банк Россия,37.89,,Т-Банк,35.58,,Газпромбанк,32.17
r174,Транскапиталбанк,33.0,,Т-Банк,30.0,,Альфа-Банк,36.0,,Т-Банк,32.51,,Газпромбанк,36.54,,Банк Россия,34.24,,ВБРР,32.06
r177,Топ банков по скорости одобрения,,,
r178,Май,,,июнь,,,июль,,,август,,,сентябрь,,,Октябрь,,,ноябрь
r179,Сбербанк,0.1,,Сбербанк,0.07,,Сбербанк,0.17,,Сбербанк,0.17,,Сбербанк,0.02,,Т-Банк,0.49,,Т-Банк,0.46
r180,Т-Банк,0.46,,Т-Банк,0.44,,Т-Банк,0.36,,Севергазбанк,0.19,,Т-Банк,0.46,,Альфа-Банк,0.76,,Альфа-Банк,0.65
r181,Альфа-Банк,0.61,,Альфа-Банк,0.64,,Альфа-Банк,0.72,,Т-Банк,0.4,,Альфа-Банк,0.94,,Банк ДОМ.РФ,1.51,,Банк ДОМ.РФ,1.25
r182,Банк ДОМ.РФ,1.87,,Банк ДОМ.РФ,1.1,,Банк ДОМ.РФ,1.56,,Альфа-Банк,0.76,,Банк ДОМ.РФ,1.45,,ВТБ,2.65,,ВТБ,2.96
r183,ВТБ,2.61,,ВТБ,3.53,,ВТБ,2.76,,Банк ДОМ.РФ,1.74,,ВТБ,3.13,,Газпромбанк,7.81,,Газпромбанк,13.99
r184,МКБ,4.56,,МКБ,11.29,,МКБ,5.22,,ВТБ,2.31,,Севергазбанк,5.78,,УБРиР,14.2,,Совкомбанк,20.82
r185,УБРиР,11.36,,Совкомбанк,14.35,,УБРиР,14.25,,УБРиР,14.79,,УБРиР,14.24,,Совкомбанк,17.98,,УБРиР,23.56
r186,Совкомбанк,15.42,,УБРиР,15.91,,Совкомбанк,15.81,,МКБ,14.92,,МКБ,15.37,,Промсвязьбанк,20.12,,МКБ,40.29
r187,Севергазбанк,16.97,,Промсвязьбанк,18.2,,Промсвязьбанк,17.51,,Совкомбанк,16.24,,Совкомбанк,15.8,,Россельхозбанк,22.06,,Промсвязьбанк,40.66
r188,Россельхозбанк,17.14,,Абсолют Банк,18.98,,Россельхозбанк,17.67,,Промсвязьбанк,18.59,,Газпромбанк,16.47,,Абсолют Банк,24.54,,Абсолют Банк,43.94
r191,Топ банков по скорости реакции,,,
r192,Май,,,июнь,,,июль,,,август,,,сентябрь,,,Октябрь,,,ноябрь
r193,АК БАРС,0.01,,Сбербанк,0.13,,Сбербанк,0.19,,Сбербанк,0.17,,Сбербанк,0.06,,Т-Банк,0.43,,Т-Банк,0.4
r194,Сбербанк,0.13,,Т-Банк,0.38,,Т-Банк,0.34,,Т-Банк,0.36,,Т-Банк,0.39,,Альфа-Банк,0.57,,Альфа-Банк,0.55
r195,Т-Банк,0.36,,Альфа-Банк,0.54,,Альфа-Банк,0.57,,Альфа-Банк,0.57,,Альфа-Банк,0.65,,ВТБ,0.76,,ВТБ,0.79
r196,РостФинанс,0.52,,ВТБ,1.09,,ВТБ,1.07,,ВТБ,0.73,,Россельхозбанк,0.9,,Россельхозбанк,1.21,,Россельхозбанк,1.82
r197,Альфа-Банк,0.53,,Россельхозбанк,1.33,,МКБ,1.99,,Газпромбанк,2.15,,ВТБ,0.93,,Газпромбанк,2.53,,Газпромбанк,2.56
r198,Базис Девелопмент(Дом.РФ),0.82,,МКБ,1.92,,Россельхозбанк,2.48,,Россельхозбанк,2.75,,Севергазбанк,1.45,,УБРиР,2.76,,Банк ДОМ.РФ,3.86
r199,ВТБ,1.02,,Банк ДОМ.РФ,2.2,,Совкомбанк,3.35,,МКБ,3.09,,МКБ,2.12,,Банк ДОМ.РФ,4.07,,УБРиР,10.65
r200,Примсоцбанк,1.38,,Совкомбанк,2.79,,Банк ДОМ.РФ,3.97,,Севергазбанк,3.75,,УБРиР,3.49,,Совкомбанк,8.61,,Примсоцбанк,16.09
r201,Газпромбанк,1.5,,Банк «Санкт-Петербург»,5.86,,Промсвязьбанк,4.39,,Банк ДОМ.РФ,4.04,,Газпромбанк,4.16,,Промсвязьбанк,14.92,,Совкомбанк,16.74
r202,МТС Банк,1.62,,Промсвязьбанк,8.4,,УБРиР,12.51,,Азиатско-Тихоокеанский Банк,4.68,,Банк ДОМ.РФ,4.26,,СНГБ,16.09,,Металлинвестбанк,20.72
r206,Семейка по топ-3,,,,,,,,,,
r209,,,,,,,,,,"Альфа, семейка - 80,6%"
r211,,,,,,,,,,Одобрение растет
r220,,,,,,,,,,,,
r221,,,,,,,,,,"ВТБ, семейка - 83,7"
r235,,,,,,,,,,"Совком, семейка - 53"
r237,,,,,,,,,,кол-во растет
